date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:42	94/94	---MCZ	200	added ('OK')	text/plain	date:Mon,%2022%20Nov%202021%2017:00:41%20GMT	https://www.mrhanbao.com/robots.txt		(from )
22:30:42	17964/17964	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:00:42%20GMT	https://www.mrhanbao.com/	/home/sathimantha/websites/test/www.mrhanbao.com/index.html	(from )
22:30:42	1280/1280	---M--	200	added ('OK')	image/png	etag:7f95208a494020bc8da53e997de90298d78e253e	https://www.mrhanbao.com/web/image/website/1/logo?unique=c52ec9e	/home/sathimantha/websites/test/www.mrhanbao.com/web/image/website/1/logo52c7.png	(from https://www.mrhanbao.com/)
22:30:43	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:2f7028932480cdcb927f83b0165d577669e620fa	https://www.mrhanbao.com/web/image/website/1/favicon?unique=c52ec9e	/home/sathimantha/websites/test/www.mrhanbao.com/web/image/website/1/favicon52c7.ico	(from https://www.mrhanbao.com/)
22:30:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Nov%202021%2017:00:44%20GMT	https://fonts.gstatic.com/	/home/sathimantha/websites/test/fonts.gstatic.com/index.html	(from https://www.mrhanbao.com/)
22:30:45	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22wzsdm-1633746634-77160-2223376861%22	https://www.mrhanbao.com/web/static/lib/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/sathimantha/websites/test/www.mrhanbao.com/web/static/lib/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.mrhanbao.com/)
22:30:46	149885/149885	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2017:00:45%20GMT	https://www.mrhanbao.com/web/assets/358-0811dc6/1/web.assets_common.min.css	/home/sathimantha/websites/test/www.mrhanbao.com/web/assets/358-0811dc6/1/web.assets_common.min.css	(from https://www.mrhanbao.com/)
22:30:47	582235/582235	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Nov%202021%2017:00:46%20GMT	https://www.mrhanbao.com/web/assets/359-c264051/1/web.assets_frontend.min.css	/home/sathimantha/websites/test/www.mrhanbao.com/web/assets/359-c264051/1/web.assets_frontend.min.css	(from https://www.mrhanbao.com/)
22:30:48	25451/25451	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Nov%202021%2017:00:47%20GMT	https://www.mrhanbao.com/web/assets/261-bd112bd/1/web.assets_common_minimal.min.js	/home/sathimantha/websites/test/www.mrhanbao.com/web/assets/261-bd112bd/1/web.assets_common_minimal.min.js	(from https://www.mrhanbao.com/)
22:30:49	5069/5069	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2022%20Nov%202021%2017:00:48%20GMT	https://www.mrhanbao.com/web/assets/262-319ead5/1/web.assets_frontend_minimal.min.js	/home/sathimantha/websites/test/www.mrhanbao.com/web/assets/262-319ead5/1/web.assets_frontend_minimal.min.js	(from https://www.mrhanbao.com/)
22:30:49	1280/1280	---M--	200	added ('OK')	image/png	etag:7f95208a494020bc8da53e997de90298d78e253e	https://www.mrhanbao.com/web/image/website/1/logo/Mr%20Hanbao?unique=c52ec9e	/home/sathimantha/websites/test/www.mrhanbao.com/web/image/website/1/logo/Mr%20Hanbao52c7.png	(from https://www.mrhanbao.com/)
22:30:51	38968/38968	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:00:50%20GMT	https://www.mrhanbao.com/shop	/home/sathimantha/websites/test/www.mrhanbao.com/shop.html	(from https://www.mrhanbao.com/)
22:30:51	231/231	---M--	301	error ('MOVED%20PERMANENTLY')	text/html	date:Mon,%2022%20Nov%202021%2017:00:51%20GMT	https://www.mrhanbao.com/blog/2	/home/sathimantha/websites/test/www.mrhanbao.com/blog/2	(from https://www.mrhanbao.com/)
22:30:53	17102/17102	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:00:52%20GMT	https://www.mrhanbao.com/blog/news-2	/home/sathimantha/websites/test/www.mrhanbao.com/blog/news-2.html	(from https://www.mrhanbao.com/)
22:30:54	15714/15714	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:00:53%20GMT	https://www.mrhanbao.com/about-us	/home/sathimantha/websites/test/www.mrhanbao.com/about-us.html	(from https://www.mrhanbao.com/)
22:30:55	21027/21027	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:00:54%20GMT	https://www.mrhanbao.com/contactus	/home/sathimantha/websites/test/www.mrhanbao.com/contactus.html	(from https://www.mrhanbao.com/)
22:30:56	14944/14944	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Nov%202021%2017:00:55%20GMT	https://www.mrhanbao.com/shop/cart	/home/sathimantha/websites/test/www.mrhanbao.com/shop/cart.html	(from https://www.mrhanbao.com/)
22:30:56	13222/13222	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Nov%202021%2017:00:56%20GMT	https://www.mrhanbao.com/'/web/image/website.s_cover_default_image'	/home/sathimantha/websites/test/www.mrhanbao.com/'/web/image/website.s_cover_default_image'	(from https://www.mrhanbao.com/)
22:30:58	50584/50584	---M--	200	added ('OK')	image/jpeg	etag:98c7c89a09b4bcdbf9b30d11847c2e1e159a3516	https://www.mrhanbao.com/web/image/316-98c7c89a/1558017418187.jpeg	/home/sathimantha/websites/test/www.mrhanbao.com/web/image/316-98c7c89a/1558017418187.jpg	(from https://www.mrhanbao.com/)
22:30:59	75282/75282	---M--	200	added ('OK')	image/jpeg	etag:93841829a50f33679079d201c381fc969ff6f5c5	https://www.mrhanbao.com/web/image/382-93841829/beef-burgur.jpg	/home/sathimantha/websites/test/www.mrhanbao.com/web/image/382-93841829/beef-burgur.jpg	(from https://www.mrhanbao.com/)
