HTTrack3.49-2 launched on Mon, 22 Nov 2021 22:30:40 at https://www.mrhanbao.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -w https://www.mrhanbao.com/ -O "/home/sathimantha/websites/test" -n -%P -N0 -s2 -p7 -D -a -K0 -c4 -%k -A25000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

22:31:09	Error: 	"Not Found" (404) at link https://fonts.gstatic.com/ (from https://www.mrhanbao.com/)
22:31:43	Error: 	"NOT FOUND" (404) at link https://www.mrhanbao.com/'/web/image/website.s_cover_default_image' (from https://www.mrhanbao.com/)
22:31:43	Error: 	"NOT FOUND" (404) at link https://www.mrhanbao.com/website/social/facebook (from https://www.mrhanbao.com/)
22:31:43	Error: 	"NOT FOUND" (404) at link https://www.mrhanbao.com/website/social/twitter (from https://www.mrhanbao.com/)
22:31:43	Error: 	"NOT FOUND" (404) at link https://www.mrhanbao.com/website/social/linkedin (from https://www.mrhanbao.com/)
22:33:07	Error: 	"NOT FOUND" (404) at link https://www.mrhanbao.com/'/web/image/website.s_banner_default_image' (from https://www.mrhanbao.com/about-us)
22:33:44	Error: 	"NOT FOUND" (404) at link https://www.mrhanbao.com/blog/'/website_blog/static/src/img/cover_5.jpg' (from https://www.mrhanbao.com/blog/our-blog-1)
22:33:46	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/316-98c7c89a/1558017418187.jpeg
22:33:46	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/382-93841829/beef-burgur.jpg
22:33:46	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/assets/261-bd112bd/1/web.assets_common_minimal.min.js
22:33:46	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/assets/262-319ead5/1/web.assets_frontend_minimal.min.js
22:33:47	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/384-68ca685d/Fresh-juices-with-fruits-and-vegetables-1 (1).jpg
22:33:48	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/383-1105d4a4/21952545_10155674190633698_1016293131_o-1-1.jpg
22:33:48	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/385-88e39c90/file-20180529-80633-frs1je.jpg
22:33:48	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/381-30871d30/coffee-or-tea-1200x900.jpg
22:33:49	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/388-a1b99bca/logo resize.png
22:33:49	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/image/395-482cf2ec/Invitation.png?access_token=124f9ac3-4eff-44e2-ba8f-ddb70bee08ec
22:33:53	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/lib/jquery.ui/images/ui-icons_555555_256x240.png
22:33:53	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/lib/jquery.ui/images/ui-icons_ffffff_256x240.png
22:33:57	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/lib/jquery.ui/images/ui-icons_777777_256x240.png
22:34:04	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/lib/select2/select2.png
22:34:18	Warning: 	File seems complete (same size), but there was a cache read error (4294967295): https://www.mrhanbao.com/web/static/fonts/lato/Lato-Lig-webfont.ttf
